code,percN_grass,Ca_ppm_grass,K_ppm_grass,Mg_ppm_grass,Na_ppm_grass,P_ppm,
bison_1_6,1.48,2126.625,9204.0625,696.8125,1343,1236.0625,
bison_1_7,1.01,2009.114754,9190.295082,851.4098361,1438,1480.852459,
bison_1_8,1.04,1457.953216,7128.304094,704.619883,1297,1118.654971,
bison_2_6,2.01,2289.375,15881.25,861.9375,1361,1851.3125,
bison_2_7,1.79,2126.407186,12918.8024,763.1137725,1239,1635.628743,
bison_2_8,1.45,2102.048193,11174.09639,851.746988,1318,1247.951807,
bison_3_6,1.23,2089.6875,7220.125,623.4375,1339,993.5625,
bison_3_7,0.85,2569.294118,5962.588235,862.8235294,1223,968.5882353,
bison_3_8,0.71,1691.569767,3985.930233,918.4302326,1265,763.9534884,
cattle_1_6,1.35,2217.6875,11067.375,864,1367,1164.3125,
cattle_1_7,1.13,2581.762918,5708.693009,783.5866261,1280,1092.462006,
cattle_1_8,0.88,2486.346154,7251.217949,1033.653846,1463,1030.833333,
cattle_2_6,1.39,2017,11118.5625,726.4375,1350,1434.125,
cattle_2_7,0.93,2382.389937,8328.050314,945.2201258,1318,1007.798742,
cattle_2_8,0.99,2193.333333,9311.401869,1063.987539,1359,1013.021807,
cattle_3_6,1.65,2185.1875,10730,1061.5,1355,1507.75,
cattle_3_7,1.25,2231.942857,6833.885714,961.3142857,1188,1302.514286,
cattle_3_8,0.98,1586.990881,8599.635258,830.0303951,1322,1275.683891,
trtpd_2_6,2,419.0625,14604,960.125,1303,1140.375,
ungrazed_1_6,1.49,3669.625,15665.125,530.3125,1369,1812.125,
ungrazed_1_7,1.14,3212.48366,11440.3268,523.6601307,1429,1346.405229,
ungrazed_1_8,0.91,3214.249201,10937.2524,866.1341853,1383,1192.651757,
ungrazed_2_6,1.17,2318.6875,11872.6875,915.9375,1423,1158.8125,
ungrazed_2_7,1.04,2610.431894,8561.860465,638.4717608,1460,1021.063123,
ungrazed_2_8,0.69,2791.53605,8395.548589,663.1347962,1398,633.2288401,
ungrazed_3_6,1.46,1690.75,6284.8125,519.5,1352,931.625,
ungrazed_3_7,1.01,1951.111111,6650.784314,580.3921569,1429,968.3006536,
ungrazed_3_8,1.14,2651.111111,7981.801802,860,1334,963.7837838,
untrtpd_1_6,3.39,4177.625,33566.5,1989.8125,1368,3506.375,
untrtpd_1_7,2.45,2800.0625,20083.8125,1032,1361,1429.5625,
untrtpd_1_8,1.72,1804.807692,10906.85897,901.2179487,1401,1264.871795,
untrtpd_2_6,2.16,2739.25,12780.625,703.5,1385,1031.625,
untrtpd_2_7,1.58,7036.8125,13945.5,1553.9375,1372,1240.4375,
untrtpd_2_8,1.07,2774.405145,10900.64309,834.0836013,1400,851.318328,
untrtpd_3_6,1.71,2513.875,11937.4375,835.625,1415,1018.6875,
untrtpd_3_7,1.34,2057.0625,7508.8125,585.1875,1344,693.125,
