"","site","month","ON_dens","CP_dens"
"1","bison_1",6,83,58
"2","bison_1",7,30,60
"3","bison_1",8,1,143
"4","bison_2",6,23,3
"5","bison_2",7,227,16
"6","bison_2",8,5,27
"7","bison_3",6,99,252
"8","bison_3",7,53,343
"9","bison_3",8,72,943
"10","cattle_1",6,6,0
"11","cattle_1",7,24,590
"12","cattle_1",8,8,716
"13","cattle_2",6,3,0
"14","cattle_2",7,290,77
"15","cattle_2",8,56,134
"16","cattle_3",6,84,257
"17","cattle_3",7,49,244
"18","cattle_3",8,9,189
"19","trtpd_1",6,19,2
"20","trtpd_1",7,63,2
"21","trtpd_1",8,4,34
"22","trtpd_2",6,71,4
"23","trtpd_2",7,101,72
"24","trtpd_2",8,12,243
"25","trtpd_3",6,25,11
"26","trtpd_3",7,18,18
"27","trtpd_3",8,11,64
"28","ungrazed_1",6,124,297
"29","ungrazed_1",7,39,377
"30","ungrazed_1",8,2,110
"31","ungrazed_2",6,3,8
"32","ungrazed_2",7,0,25
"33","ungrazed_2",8,4,106
"34","ungrazed_3",6,111,8
"35","ungrazed_3",7,17,6
"36","ungrazed_3",8,12,9
"37","untrtpd_1",7,330,0
"38","untrtpd_1",8,35,2
"39","untrtpd_2",6,274,188
"40","untrtpd_2",7,32,239
"41","untrtpd_2",8,126,754
"42","untrtpd_3",6,240,474
"43","untrtpd_3",7,104,483
"44","untrtpd_3",8,36,222
