site,month,grass_PC1,grass_PC_tm1,grass_PC_tm2
bison_1,6,0.127171821,NA,NA
bison_1,7,-0.283225802,0.127171821,NA
bison_1,8,-1.337821769,-0.283225802,0.127171821
bison_1,9,0.896265949,-1.337821769,-0.283225802
bison_2,6,2.109835638,NA,NA
bison_2,7,1.126294483,2.109835638,NA
bison_2,8,-0.18542851,1.126294483,2.109835638
bison_2,9,-1.505145486,-0.18542851,1.126294483
bison_3,6,-0.611732332,NA,NA
bison_3,7,-0.893454035,-0.611732332,NA
bison_3,8,-2.021510813,-0.893454035,-0.611732332
bison_3,9,-1.894738647,-2.021510813,-0.893454035
cattle_1,6,0.330972075,NA,NA
cattle_1,7,-0.579984745,0.330972075,NA
cattle_1,8,-0.903495211,-0.579984745,0.330972075
cattle_1,9,-1.717267328,-0.903495211,-0.579984745
cattle_2,6,0.466247605,NA,NA
cattle_2,7,-0.384983012,0.466247605,NA
cattle_2,8,-0.852061903,-0.384983012,0.466247605
cattle_2,9,2.629075653,-0.852061903,-0.384983012
cattle_3,6,1.081479653,NA,NA
cattle_3,7,-0.081252393,1.081479653,NA
cattle_3,8,-1.071018328,-0.081252393,1.081479653
trtpd_2,6,1.265629587,-1.071018328,-0.081252393
trtpd_2,7,NA,1.265629587,NA
trtpd_2,8,NA,NA,1.265629587
ungrazed_1,6,1.663208615,NA,NA
ungrazed_1,7,-0.349658542,1.663208615,NA
ungrazed_1,8,-0.590429606,-0.349658542,1.663208615
ungrazed_1,9,-1.776460986,-0.590429606,-0.349658542
ungrazed_2,6,0.636445607,NA,NA
ungrazed_2,7,-0.906468843,0.636445607,NA
ungrazed_2,8,-1.814175227,-0.906468843,0.636445607
ungrazed_2,9,-2.15449281,-1.814175227,-0.906468843
ungrazed_3,6,-0.795983728,NA,NA
ungrazed_3,7,-1.431800321,-0.795983728,NA
ungrazed_3,8,-0.642383659,-1.431800321,-0.795983728
ungrazed_3,9,-1.512330922,-0.642383659,-1.431800321
untrtpd_1,6,8.277158813,NA,NA
untrtpd_1,7,2.708921774,8.277158813,NA
untrtpd_1,8,0.109270215,2.708921774,8.277158813
untrtpd_2,6,1.026601342,NA,NA
untrtpd_2,7,2.661434461,1.026601342,NA
untrtpd_2,8,-0.937235891,2.661434461,1.026601342
untrtpd_3,6,0.694759744,NA,NA
untrtpd_3,7,-0.576232188,0.694759744,NA
untrtpd_3,8,NA,-0.576232188,0.694759744
